customer_id,gender,birthdate,user_agent,ip_address,campaign,order_date,pages_visited,order_id,tshirt_category,tshirt_price,tshirt_quantity,tshirt_type,tshirt_department,tshirt_colour
886900,M,1953/10/5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",69.8.136.110,False,2016-01-26,10,HTS-886900-0001,White T-Shirt M,20.0,4,Shirt,Man,White
038040,F,1946/12/21,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",67.74.254.174,False,2016-09-04,9,HTS-038040-0002,White T-Shirt M,20.0,1,Shirt,Man,White
038040,F,1946/12/21,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",67.74.254.174,False,2014-06-04,13,HTS-038040-0001,White T-Shirt F,18.0,1,Shirt,Woman,White
698696,F,1983/12/1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",95.135.70.206,False,2016-05-08,9,HTS-698696-0002,White T-Shirt F,18.0,1,Shirt,Woman,White
698696,F,1983/12/1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",95.135.70.206,False,2014-08-17,10,HTS-698696-0001,Black T-Shirt F,17.5,2,Shirt,Woman,Black
sn9keh,M,1990/9/23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",129.50.205.26,False,2016-09-16,9,HTS-sn9keh-0001,White T-Shirt M,20.0,1,Shirt,Man,White
496907,M,1869/6/8,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",81.98.234.29,False,2017-01-15,11,HTS-496907-0004,Hoodie,23.0,1,Hoodie,Unisex,Unknown
496907,M,1869/6/8,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",81.98.234.29,False,2015-03-30,8,HTS-496907-0002,White T-Shirt M,20.0,1,Shirt,Man,White
496907,M,1869/6/8,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",81.98.234.29,False,2014-04-28,9,HTS-496907-0001,Black T-Shirt M,19.0,1,Shirt,Man,Black
496907,M,1869/6/8,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",81.98.234.29,False,2015-09-10,16,HTS-496907-0003,Hoodie,23.0,1,Hoodie,Unisex,Unknown
