name,brand,model,size,load_index,speed_index,fuel_index,wet_grip_index,noise_index,noise_level,class,user_rating,price,availability
Bridgestone Blizzak LM005 205/55 R16 91 H,Bridgestone,Blizzak LM005,205/55 R16,91,H,C,A,B,71,Premium,4.7,469,full
Michelin Alpin 7 205/55 R16 91 T,Michelin,Alpin 7,205/55 R16,91,T,C,B,B,71,Premium,4.8,461,full
Neolin NeoWinter 205/55 R16 94 V XL,Neolin,NeoWinter,205/55 R16,94,V,D,D,B,71,Ekonomiczna,4.4,224,full
Imperial Snowdragon HP 205/55 R16 91 V,Imperial,Snowdragon HP,205/55 R16,91,V,C,C,B,70,Ekonomiczna,4.3,216,full
Compasal WinterBlazer HP 205/55 R16 91 H,Compasal,WinterBlazer HP,205/55 R16,91,H,D,C,B,72,Ekonomiczna,,197,full
Neolin NeoWinter 205/55 R16 91 V,Neolin,NeoWinter,205/55 R16,91,V,D,D,B,71,Ekonomiczna,4.4,199,full
Firemax FM805+ 205/55 R16 91 H,Firemax,FM805+,205/55 R16,91,H,D,C,A,67,Ekonomiczna,4.4,214,full
Imperial Snowdragon UHP 205/55 R16 91 H,Imperial,Snowdragon UHP,205/55 R16,91,H,C,C,B,72,Ekonomiczna,4.3,215,full
Imperial Snowdragon HP 205/55 R16 91 H,Imperial,Snowdragon HP,205/55 R16,91,H,C,C,B,70,Ekonomiczna,4.3,217,full
Imperial Snowdragon UHP 205/55 R16 94 H XL,Imperial,Snowdragon UHP,205/55 R16,94,H,C,C,B,72,Ekonomiczna,4.3,220,full
Zeetex WH1000 205/55 R16 91 H,Zeetex,WH1000,205/55 R16,91,H,C,B,B,70,Średnia,4.3,229,full
Nankang Winter Activa SV-4 205/55 R16 94 V XL,Nankang,Winter Activa SV-4,205/55 R16,94,V,C,B,B,71,Ekonomiczna,4.0,249,
Kormoran Snow 205/55 R16 91 H,Kormoran,Snow,205/55 R16,91,H,D,C,B,72,Ekonomiczna,4.5,254,full
Kormoran Snow 205/55 R16 94 H XL,Kormoran,Snow,205/55 R16,94,H,D,C,B,72,Ekonomiczna,4.5,269,full
Dębica Frigo 2 205/55 R16 91 T,Dębica,Frigo 2,205/55 R16,91,T,C,C,B,71,Ekonomiczna,4.2,272,
Laufenn I Fit+ 205/55 R16 91 H MFS,Laufenn,I Fit+,205/55 R16,91,H,C,C,B,72,Ekonomiczna,4.4,274,full
Laufenn I Fit+ 205/55 R16 91 T MFS,Laufenn,I Fit+,205/55 R16,91,T,C,C,B,72,Ekonomiczna,4.4,279,full
Nexen Winguard SnowG 3 WH21 205/55 R16 91 T,Nexen,Winguard SnowG 3 WH21,205/55 R16,91,T,D,B,B,72,Średnia,4.5,294,full
Nexen Winguard Snow'G WH2 205/55 R16 91 T,Nexen,Winguard Snow'G WH2,205/55 R16,91,T,D,B,B,70,Średnia,4.4,295,full
Nexen Winguard SnowG 3 WH21 205/55 R16 91 H,Nexen,Winguard SnowG 3 WH21,205/55 R16,91,H,D,B,B,72,Średnia,4.5,307,full
Zeetex WH1000 205/55 R16 94 V XL,Zeetex,WH1000,205/55 R16,94,V,C,B,B,70,Średnia,4.3,309,full
Fulda Kristall Control HP2 205/55 R16 91 H,Fulda,Kristall Control HP2,205/55 R16,91,H,C,C,B,72,Średnia,4.4,329,
Kumho WinterCraft WP52 205/55 R16 91 T,Kumho,WinterCraft WP52,205/55 R16,91,T,C,B,B,72,Średnia,4.5,337,full
Uniroyal WinterExpert 205/55 R16 91 T,Uniroyal,WinterExpert,205/55 R16,91,T,C,B,B,71,Średnia,4.6,343,
