name,brand,model,size,load_index,speed_index,fuel_index,wet_grip_index,noise_index,noise_level,class,user_rating,price,availability
Wintrac 205/55 R16 91 H,Vredestein,Wintrac,205/55 R16,91,H,C,B,B,70.0,Premium,5.4,376.99,full
WinterExpert 205/55 R16 91 T,Uniroyal,WinterExpert,205/55 R16,91,T,C,B,B,71.0,Średnia,5.4,343.99,full
SP901 205/55 R16 91 H,Austone,SP901,205/55 R16,91,H,D,D,B,72.0,Ekonomiczna,5.1,229.99,full
Frigo 2 205/55 R16 91 T,Dębica,Frigo 2,205/55 R16,91,T,C,C,B,71.0,Ekonomiczna,5.1,249.0,full
Winter i*cept RS3 W462 205/55 R16 91 T,Hankook,Winter i*cept RS3 W462,205/55 R16,91,T,C,B,B,72.0,Premium,5.3,322.0,full
Frigo HP2 205/55 R16 91 H,Dębica,Frigo HP2,205/55 R16,91,H,C,C,B,72.0,Ekonomiczna,5.2,299.0,full
Z507 205/55 R16 91 V,Goodride,Z507,205/55 R16,91,V,C,C,B,72.0,Ekonomiczna,5.1,239.99,full
SW608 205/55 R16 91 H,Goodride,SW608,205/55 R16,91,H,C,C,B,72.0,Ekonomiczna,5.1,249.99,full
Polaris 6 205/55 R16 91 T,Barum,Polaris 6,205/55 R16,91,T,B,C,B,72.0,Ekonomiczna,5.0,319.0,full
WinterExpert 205/55 R16 91 H,Uniroyal,WinterExpert,205/55 R16,91,H,C,B,B,71.0,Średnia,5.4,350.0,full
Wintercraft WP52 205/55 R16 91 H,Kumho,Wintercraft WP52,205/55 R16,91,H,C,B,B,72.0,Średnia,5.1,320.0,full
Winterhawk 4 205/55 R16 91 H,Firestone,Winterhawk 4,205/55 R16,91,H,C,B,B,71.0,Średnia,5.3,344.0,full
Eurowinter HS02 205/55 R16 91 H,Falken,Eurowinter HS02,205/55 R16,91,H,D,B,A,69.0,Średnia,5.4,399.0,full
Blizzak LM005 205/55 R16 91 H,Bridgestone,Blizzak LM005,205/55 R16,91,H,C,A,B,71.0,Premium,5.5,455.0,full
Winguard Snow'G WH2 205/55 R16 91 H,Nexen,Winguard Snow'G WH2,205/55 R16,91,H,D,C,B,70.0,Średnia,5.3,310.0,full
Snowproof 2 205/55 R16 94 H,Nokian Tyres,Snowproof 2,205/55 R16,94,H,B,B,A,69.0,Premium,5.6,435.0,full
Winguard Snow'G3 WH21 205/55 R16 91 T,Nexen,Winguard Snow'G3 WH21,205/55 R16,91,T,D,B,B,72.0,Średnia,5.2,284.12,full
Winter Sport 5 205/55 R16 91 H,Dunlop,Winter Sport 5,205/55 R16,91,H,C,B,B,71.0,Premium,5.4,402.99,full
Winter i*cept RS3 W462 205/55 R16 94 H,Hankook,Winter i*cept RS3 W462,205/55 R16,94,H,C,B,B,72.0,Premium,5.3,380.0,full
Winguard Snow'G3 WH21 205/55 R16 91 H,Nexen,Winguard Snow'G3 WH21,205/55 R16,91,H,D,B,B,72.0,Średnia,5.2,289.99,full
Eurowinter HS01 205/55 R16 91 T,Falken,Eurowinter HS01,205/55 R16,91,T,D,B,B,70.0,Średnia,5.1,355.0,full
Winter i*cept RS3 W462 205/55 R16 91 H,Hankook,Winter i*cept RS3 W462,205/55 R16,91,H,C,B,B,72.0,Premium,5.3,387.86,full
BluEarth Winter V906 205/55 R16 91 T,Yokohama,BluEarth Winter V906,205/55 R16,91,T,D,B,B,71.0,Premium,5.3,347.0,full
Eurowinter HS01 205/55 R16 91 T,Falken,Eurowinter HS01,205/55 R16,91,T,D,B,B,70.0,Średnia,5.1,355.0,full
Winter i*cept RS3 W462 205/55 R16 91 H,Hankook,Winter i*cept RS3 W462,205/55 R16,91,H,C,B,B,72.0,Premium,5.3,387.86,full
BluEarth Winter V906 205/55 R16 91 T,Yokohama,BluEarth Winter V906,205/55 R16,91,T,D,B,B,71.0,Premium,5.3,347.0,full
Alpin 7 205/55 R16 91 T,Michelin,Alpin 7,205/55 R16,91,T,C,B,B,71.0,Premium,5.5,460.0,full
Alpin 7 205/55 R16 91 H,Michelin,Alpin 7,205/55 R16,91,H,C,B,B,71.0,Premium,5.5,465.0,full
DIMAX ALPINE 205/55 R16 94 H,Radar,DIMAX ALPINE,205/55 R16,94,H,D,C,A,69.0,Ekonomiczna,5.2,225.49,full
Winter S 205/55 R16 91 H,Point S,Winter S,205/55 R16,91,H,,,,,Średnia,5.6,271.94,full
Ultra Grip Performance 3 205/55 R16 91 T,Goodyear,Ultra Grip Performance 3,205/55 R16,91,T,C,B,B,70.0,Premium,5.5,429.99,medium
Wintrac 205/55 R16 91 T,Vredestein,Wintrac,205/55 R16,91,T,C,B,B,70.0,Premium,5.4,355.5,full
BluEarth Winter V906 205/55 R16 91 H,Yokohama,BluEarth Winter V906,205/55 R16,91,H,D,B,B,71.0,Premium,5.3,352.49,full
Eskimo S3+ 205/55 R16 91 T,Sava,Eskimo S3+,205/55 R16,91,T,C,C,B,72.0,Ekonomiczna,5.0,306.18,full
WINGUARD Snow'G 2 205/55 R16 94 V,Roadstone,WINGUARD Snow'G 2,205/55 R16,94,V,D,C,B,70.0,Ekonomiczna,,245.0,full
WinterContact TS 870 205/55 R16 94 H,Continental,WinterContact TS 870,205/55 R16,94,H,C,B,B,70.0,Premium,5.6,535.56,full
ContiWinterContact TS 830 P 205/55 R16 91 H,Continental,ContiWinterContact TS 830 P,205/55 R16,91,H,D,C,B,72.0,Premium,5.0,436.05,low
Snowproof 1 205/55 R16 91 H,Nokian Tyres,Snowproof 1,205/55 R16,91,H,C,B,B,70.0,Premium,5.4,351.99,medium
Snowproof 2 205/55 R16 91 H,Nokian Tyres,Snowproof 2,205/55 R16,91,H,C,B,A,69.0,Premium,5.6,361.88,full
WinterContact TS 870 205/55 R16 91 H,Continental,WinterContact TS 870,205/55 R16,91,H,C,B,B,70.0,Premium,5.6,476.99,full
Snowproof 2 205/55 R16 91 T,Nokian Tyres,Snowproof 2,205/55 R16,91,T,C,B,A,69.0,Premium,5.6,364.99,full
Polaris 6 205/55 R16 91 H,Barum,Polaris 6,205/55 R16,91,H,B,C,B,72.0,Ekonomiczna,5.0,382.06,full
Kristall Control HP2 205/55 R16 91 H,Fulda,Kristall Control HP2,205/55 R16,91,H,C,C,B,72.0,Średnia,5.3,354.99,full
Winguard Snow'G WH2 205/55 R16 91 T,Nexen,Winguard Snow'G WH2,205/55 R16,91,T,D,B,B,70.0,Średnia,5.3,349.7,full
MP93 Nordicca 205/55 R16 91 T,Matador,MP93 Nordicca,205/55 R16,91,T,C,C,B,72.0,Średnia,5.4,354.97,medium
Winguard Snow'G3 WH21 205/55 R16 94 V,Nexen,Winguard Snow'G3 WH21,205/55 R16,94,V,D,C,B,72.0,Średnia,5.2,381.71,medium
WinterContact TS 870 205/55 R16 91 T,Continental,WinterContact TS 870,205/55 R16,91,T,C,B,B,70.0,Premium,5.6,479.66,full
Krisalp HP3 205/55 R16 91 H,Kleber,Krisalp HP3,205/55 R16,91,H,D,B,A,69.0,Średnia,5.3,341.99,full
WINTER IL868 205/55 R16 91 H,Ilink,WINTER IL868,205/55 R16,91,H,C,C,B,70.0,,,197.09,full
Winter i*cept RS3 W462 205/55 R16 91 H,Hankook,Winter i*cept RS3 W462,205/55 R16,91,H,C,B,B,71.0,Premium,5.3,387.86,full
Cinturato Winter 2 205/55 R16 91 H,Pirelli,Cinturato Winter 2,205/55 R16,91,H,C,B,A,69.0,Premium,5.6,464.08,full
SNOWBLAZER 205/55 R16 91 H,Windforce,SNOWBLAZER,205/55 R16,91,H,E,B,B,72.0,,5.0,370.42,full
Snow 205/55 R16 91 H,Kormoran,Snow,205/55 R16,91,H,D,C,B,72.0,Ekonomiczna,5.1,256.98,full
Cinturato Winter 205/55 R16 91 H,Pirelli,Cinturato Winter,205/55 R16,91,H,C,B,A,67.0,Premium,5.4,464.08,full
Polaris 5 205/55 R16 91 T,Barum,Polaris 5,205/55 R16,91,T,C,C,B,72.0,Ekonomiczna,5.3,543.65,medium
Blizzak 6 205/55 R16 91 H,Bridgestone,Blizzak 6,205/55 R16,91,H,C,B,B,70.0,Premium,5.1,445.52,full
Winter i*cept RS3 W462 205/55 R16 94 V,Hankook,Winter i*cept RS3 W462,205/55 R16,94,V,C,B,B,72.0,Premium,5.3,489.01,full
Winter Sport 5 205/55 R16 91 T,Dunlop,Winter Sport 5,205/55 R16,91,T,C,B,B,71.0,Premium,5.4,526.16,medium
Setula W Race S130 205/55 R16 91 V,Rotalla,Setula W Race S130,205/55 R16,91,V,C,B,B,70.0,Ekonomiczna,5.4,352.38,full
Winterxpro 888 205/55 R16 91 H,Sonix,Winterxpro 888,205/55 R16,91,H,C,D,B,69.0,,6.0,216.47,full
Winguard Sport 2 205/55 R16 91 H,Nexen,Winguard Sport 2,205/55 R16,91,H,D,B,B,70.0,Średnia,5.2,361.61,full
Winter i*cept IZ2 W616 205/55 R16 94 T,Hankook,Winter i*cept IZ2 W616,205/55 R16,94,T,C,E,B,72.0,Premium,5.6,623.32,full
Snow 205/55 R16 94 H,Kormoran,Snow,205/55 R16,94,H,D,C,B,72.0,Ekonomiczna,5.1,292.99,full
Alpin 5 205/55 R16 91 H,Michelin,Alpin 5,205/55 R16,91,H,D,B,A,68.0,Premium,5.5,737.72,full
