name,brand,model,size,load_index,speed_index,fuel_index,wet_grip_index,noise_index,noise_level,class,user_rating,price,availability
Alpin 5 205/55 R16 91 H,Michelin,Alpin 5,205/55 R16,91,H,D,B,A,68,Premium,5.5,737.719970703125,full
Alpin 6 205/55 R16 91 H,Michelin,Alpin 6,205/55 R16,91,H,C,B,A,69,Premium,5.7,1165.6300048828125,medium
Alpin 6 205/55 R16 91 T,Michelin,Alpin 6,205/55 R16,91,T,C,B,A,69,Premium,5.7,826.8200073242188,full
Alpin 7 205/55 R16 91 H,Michelin,Alpin 7,205/55 R16,91,H,C,B,B,71,Premium,5.5,465.0,full
Alpin 7 205/55 R16 91 T,Michelin,Alpin 7,205/55 R16,91,T,C,B,B,71,Premium,5.5,460.0,full
Alpin 7 205/55 R16 94 H,Michelin,Alpin 7,205/55 R16,94,H,C,B,B,71,Premium,5.5,544.8800048828125,full
Blizzak 6 205/55 R16 91 H,Bridgestone,Blizzak 6,205/55 R16,91,H,C,B,B,70,Premium,5.1,445.5199890136719,full
Blizzak LM001 205/55 R16 91 H,Bridgestone,Blizzak LM001,205/55 R16,91,H,D,B,B,72,Premium,5.3,553.72998046875,medium
Blizzak LM001 EVO 205/55 R16 91 H,Bridgestone,Blizzak LM001 EVO,205/55 R16,91,H,C,B,B,72,Premium,4.6,464.4599914550781,full
Blizzak LM005 205/55 R16 91 H,Bridgestone,Blizzak LM005,205/55 R16,91,H,C,A,B,71,Premium,5.5,455.0,full
Blizzak LM005 205/55 R16 91 T,Bridgestone,Blizzak LM005,205/55 R16,91,T,C,A,B,71,Premium,5.5,475.8800048828125,full
Blizzak LM005 205/55 R16 94 H,Bridgestone,Blizzak LM005,205/55 R16,94,H,C,A,B,71,Premium,5.5,602.3499755859375,full
Blizzak LM005 205/55 R16 94 V,Bridgestone,Blizzak LM005,205/55 R16,94,V,C,A,B,71,Premium,5.5,877.5599975585938,medium
Blizzak LM005 DriveGuard 205/55 R16 94 V,Bridgestone,Blizzak LM005 DriveGuard,205/55 R16,94,V,C,A,B,71,Premium,5.2,673.4199829101562,medium
BluEarth Winter V906 205/55 R16 91 H,Yokohama,BluEarth Winter V906,205/55 R16,91,H,D,B,B,71,Premium,5.3,352.489990234375,full
BluEarth Winter V906 205/55 R16 91 T,Yokohama,BluEarth Winter V906,205/55 R16,91,T,D,B,B,71,Premium,5.3,347.0,full
BluEarth Winter V906 205/55 R16 94 H,Yokohama,BluEarth Winter V906,205/55 R16,94,H,D,B,B,71,Premium,5.3,379.4800109863281,full
BluEarth Winter V906 205/55 R16 94 V,Yokohama,BluEarth Winter V906,205/55 R16,94,V,D,B,B,71,Premium,5.3,484.19000244140625,full
CHAMPIRO WINTERPRO HP 205/55 R16 94 V,Gt radial,CHAMPIRO WINTERPRO HP,205/55 R16,94,V,D,C,B,72,Średnia,5.0,464.07000732421875,full
Cinturato Winter 2 205/55 R16 91 H,Pirelli,Cinturato Winter 2,205/55 R16,91,H,C,B,A,69,Premium,5.6,464.0799865722656,full
Cinturato Winter 2 205/55 R16 91 T,Pirelli,Cinturato Winter 2,205/55 R16,91,T,C,B,A,69,Premium,5.6,535.0,medium
Cinturato Winter 2 205/55 R16 94 H,Pirelli,Cinturato Winter 2,205/55 R16,94,H,C,B,A,69,Premium,5.6,470.0,full
Cinturato Winter 205/55 R16 91 H,Pirelli,Cinturato Winter,205/55 R16,91,H,C,B,A,67,Premium,5.4,464.0799865722656,full
ContiWinterContact TS 830 P 205/55 R16 91 H,Continental,ContiWinterContact TS 830 P,205/55 R16,91,H,D,C,B,72,Premium,5.0,436.04998779296875,low
DIMAX ALPINE 205/55 R16 91 H,Radar,DIMAX ALPINE,205/55 R16,91,H,D,C,A,69,Ekonomiczna,5.2,301.7099914550781,full
DIMAX ALPINE 205/55 R16 94 H,Radar,DIMAX ALPINE,205/55 R16,94,H,D,C,A,69,Ekonomiczna,5.2,225.49000549316406,full
DIMAX WINTER 205/55 R16 94 V,Radar,DIMAX WINTER,205/55 R16,94,V,C,B,B,69,Ekonomiczna,0.0,315.6099853515625,full
Discoverer Winter 205/55 R16 91 H,Cooper,Discoverer Winter,205/55 R16,91,H,D,B,B,71,Średnia,5.7,565.3900146484375,full
Discoverer Winter 205/55 R16 94 V,Cooper,Discoverer Winter,205/55 R16,94,V,D,B,B,71,Średnia,5.7,563.989990234375,low
ESKIMO HP2 205/55 R16 91 H,Sava,ESKIMO HP2,205/55 R16,91,H,C,B,B,71,Ekonomiczna,5.2,378.07000732421875,medium
ESKIMO HP2 205/55 R16 94 H,Sava,ESKIMO HP2,205/55 R16,94,H,C,D,B,72,Ekonomiczna,5.2,487.45001220703125,full
EUROFROST 6 205/55 R16 91 H,Gislaved,EUROFROST 6,205/55 R16,91,H,D,C,B,72,Średnia,5.0,511.4200134277344,full
EUROFROST 6 205/55 R16 91 T,Gislaved,EUROFROST 6,205/55 R16,91,T,D,C,B,72,Średnia,5.0,449.3299865722656,full
EUROFROST 6 205/55 R16 94 H,Gislaved,EUROFROST 6,205/55 R16,94,H,D,C,B,72,Średnia,5.0,510.3399963378906,full
EUROVIS ALPINE WH1 205/55 R16 91 T,Roadstone,EUROVIS ALPINE WH1,205/55 R16,91,T,C,C,B,69,Ekonomiczna,5.0,421.20001220703125,full
Eskimo S3+ 205/55 R16 91 T,Sava,Eskimo S3+,205/55 R16,91,T,C,C,B,72,Ekonomiczna,5.0,306.17999267578125,full
Eurowinter HS01 205/55 R16 91 H,Falken,Eurowinter HS01,205/55 R16,91,H,E,C,B,71,Średnia,5.1,512.5599975585938,full
Eurowinter HS01 205/55 R16 91 T,Falken,Eurowinter HS01,205/55 R16,91,T,D,B,B,70,Średnia,5.1,355.0,full
Eurowinter HS02 205/55 R16 91 H,Falken,Eurowinter HS02,205/55 R16,91,H,D,B,A,69,Średnia,5.4,399.0,full
Eurowinter HS02 205/55 R16 94 V,Falken,Eurowinter HS02,205/55 R16,94,V,C,B,A,69,Średnia,5.4,560.1300048828125,low
FSR-901 205/55 R16 94 H,Fortune,FSR-901,205/55 R16,94,H,D,D,B,72,Ekonomiczna,5.3,231.3800048828125,full
